title,sinopse,genres,title_url
Penalty,"
A story of a North-east Indian football player who's fighting day and night with the society in order to achieve his dreams. The film covers all kinds of layers in one single film from ...                <a href=""/title/tt10530392/plotsummary"">See full summary</a> »
","
Sport            ",https://www.imdb.com/title/tt10530392/
"Nadia, Butterfly","
Nadia, an Olympic swimmer in her twenties, faces the challenges of her imminent retirement.","
Drama, Sport            ",https://www.imdb.com/title/tt12439508/
Backyard Ashes,"
Dougie Waters loves nothing more than a weekend barbie and cricket match with his mates. But his paradise on earth is destroyed when his best mate and neighbour Norm is forced to leave town...                <a href=""/title/tt3273644/plotsummary"">See full summary</a> »
","
Comedy, Sport            ",https://www.imdb.com/title/tt3273644/
Dreamer,"
Up and coming professional bowler trying to win a tournament against a grizzled veteran bowler.","
Drama, Sport            ",https://www.imdb.com/title/tt0079080/
Fencer,"
A hard-charging female athlete faces personal demons and childhood rivals as she vies for a spot on the U.S. Olympic Fencing Team.","
Drama, Sport            ",https://www.imdb.com/title/tt5811762/
Endurance,"
The gold medal for the men's 10,000-metre race in the 1996 Atlanta Olympics is won by Ethiopian Haile Gebrselassie.","
Biography, Drama, Sport            ",https://www.imdb.com/title/tt0120659/
Blonde Fist,"
A woman attempts to escape her domestic problems by fleeing to New York in search of her father. She finds him, and also new problems, some friendship, a romance, and an unexpected career as pro-boxer, to make ends meet.","
Action, Drama, Sport            ",https://www.imdb.com/title/tt0101473/
Easy Living,"
Pete Wilson is on top. He is the highest paid professional football player in the league. He has seen other players come and go, but he was MVP last year and the future looks rosy. His wife...                <a href=""/title/tt0041328/plotsummary"">See full summary</a> »
","
Drama, Sport            ",https://www.imdb.com/title/tt0041328/
Roads to Olympia,"
Three young athletes face cultural oppression, intolerance and poverty, as they pursue a shared dream: to compete in the Olympic Games.","
Drama, Sport            ",https://www.imdb.com/title/tt5867036/
Aika jonka sain,"
The feature film (One half of me) is based on true events and tells an incredible survival story of a Finnish woman. Jaana is a bar owner and a mother of two kids. Her spare time hobby is ...                <a href=""/title/tt9777796/plotsummary"">See full summary</a> »
","
Biography, Drama, Sport            ",https://www.imdb.com/title/tt9777796/
Chihayafuru Part I,"
The first part of the ""Chihayafuru"" trilogy. Chihaya is a high school student who loves Karuta, a traditional card game from Japan. Chihaya and her friends start a Karuta club at high school to become the greatest Karuta player in Japan.","
Comedy, Drama, Romance            ",https://www.imdb.com/title/tt4785440/
Lola 2,"
When champion amateur boxer and lifelong fighter Lola falls in love and has a baby, she struggles to give up her championship and leave the ring with her career unfinished.","
Drama, Sport            ",https://www.imdb.com/title/tt13799290/
Den ofrivillige golfaren,"
I bet anyone can get better at golf than you are in one week, a golfer says to her golfing businessman for a boyfriend in a quarrel. Unfortunately Stig-Helmer is standing nearby when the ...                <a href=""/title/tt0102579/plotsummary"">See full summary</a> »
","
Comedy, Sport            ",https://www.imdb.com/title/tt0102579/
The 60 Yard Line,"
Diehard Packers fan, Ben 'Zagger' Zagowski, buys a house in the parking lot of Lambeau Field and is forced to choose between a superfan lifestyle and his fiancé, Amy. Based on a true story, set during the 2009 football season.","
Comedy, Drama, Family            ",https://www.imdb.com/title/tt5028598/
Winter Ball,"
A minor league pitcher is about to move up to the big leagues - or so he thinks. Instead, he's sent to the Dominican Republic to play winter baseball and rediscover his baseball heart.","
Sport            ",https://www.imdb.com/title/tt14167356/
Ethir Neechal,"
A young man opts to run a marathon to prove himself.","
Comedy, Romance, Sport            ",https://www.imdb.com/title/tt2877104/
On the Edge,"
The film's two main protagonists are Russia's best saber fencers. One of them has long been in the limelight, the other only recently made it into the national team and has been winning ...                <a href=""/title/tt10146208/plotsummary"">See full summary</a> »
","
Drama, Sport            ",https://www.imdb.com/title/tt10146208/
Son Of Manjeet Singh,"
An undefined relationship between father and son of love and dreams that goes beyond all boundaries of struggles to meet the demand of generation gap.","
Comedy, Drama, Sport            ",https://www.imdb.com/title/tt8908048/
Hombre de fe,"
The story of real life Costa Rican goalkeeper Keylor Navas, from his humble beginnings in his home town to his rise to greatness as an elite soccer player.","
Biography, Drama, Sport            ",https://www.imdb.com/title/tt6802540/
Die Wilden Kerle 2,"
An unsupervised junior soccer team loses their ace player to the leader of a rival gang en route to qualifying to play against the nation team and must have her back.","
Comedy, Family, Sport            ",https://www.imdb.com/title/tt0418325/
Slam Dunk: Zenkoku Seiha da! Sakuragi Hanamichi,"
Set during the Inter High Championships, Shohoku take on Tsukubu, one of this year's dark horses. It's a clash of acquaintances as Anzai will face his former student which is now the coach ...                <a href=""/title/tt4086028/plotsummary"">See full summary</a> »
","
Animation, Comedy, Drama            ",https://www.imdb.com/title/tt4086028/
Boologam,"
The families of Boologam and Arumugam, two boxers, have been rivals for many years. Deepak, a businessman, decides to use this rivalry for his personal gain.","
Action, Sport            ",https://www.imdb.com/title/tt3557988/
A Kid for Two Farthings,"
In a lower-class London community of small shops, open-air vendors and flea-marketers, Joe, a small boy, lives with his mother, Joanne, who works in and rooms above the Kandinsky tailor ...                <a href=""/title/tt0048250/plotsummary"">See full summary</a> »
","
Comedy, Drama, Family            ",https://www.imdb.com/title/tt0048250/
Dangerous Moves,"
During the Cold War, the World Chess Championship clashed complete opposites - personal and political.","
Drama, Sport, Thriller            ",https://www.imdb.com/title/tt0087144/
Pássaro Atrevido,"
Set in grungy Mumbai, an edgy love story of a blindfolded street fighter and a blind dancer and their never-say-die spirit to achieve the impossible.","
Action, Drama, Romance            ",https://www.imdb.com/title/tt1606267/
Streltsov,"
By the age of twenty, Eduard Streltsov has everything one can dream of: talent, money, fame and love. He is the rising star of the Soviet football. The whole country expects victory from ...                <a href=""/title/tt12058242/plotsummary"">See full summary</a> »
","
Biography, Drama, Romance            ",https://www.imdb.com/title/tt12058242/
Patiala House,"
A talented young Indian cricket player must defy his father's wishes to play for the side of England, a rebellion his siblings quietly cheer.","
Drama, Sport            ",https://www.imdb.com/title/tt1535467/
De Marathon,"
After finding out that they have a tax debt of forty thousand euros, four very out-of-shape men working at a car shop start to train for a marathon in which they can win the money to pay the debt.","
Comedy, Drama, Sport            ",https://www.imdb.com/title/tt2401621/
The Formula,"
Follow a Formula One racing prodigy who is forced to become a getaway driver to save his family.","
Crime, Drama, Sport            ",https://www.imdb.com/title/tt13918626/
The Sensei,"
In 1985 Colorado, a long-absent woman, proficient as a black belt in martial arts, returns home where she agrees, secretly, to train a bullied gay teen.","
Action, Drama, Sport            ",https://www.imdb.com/title/tt0454941/
Marathon,"
An autistic boy discovers he has a talent for running and with the help of the mother participates in a major marathon.","
Biography, Drama, Sport            ",https://www.imdb.com/title/tt0448621/
In God's Hands,"
Three pro surfers - gifted Shane, once-great Mickey and rising young star Keoni travel to Madagascar, Bali and Hawaii in search for the ultimate wave.","
Action, Drama, Sport            ",https://www.imdb.com/title/tt0140282/
The Break,"
A depressed and destitute Nick Irons, a tennis pro banned from the tour for slugging a player during a TV match, agrees to coach a bookie's ""head case"" son, Joel, who wants to turn pro. The...                <a href=""/title/tt0112574/plotsummary"">See full summary</a> »
","
Drama, Sport            ",https://www.imdb.com/title/tt0112574/
Navy Blue and Gold,"
Three young men, with a common fondness for football, become roommates the at United States Naval Academy where they experience its rules and traditions.","
Drama, Sport            ",https://www.imdb.com/title/tt0029297/
One Hit from Home,"
An injured professional baseball player returns home to sulk but a nearby college baseball team with only one decent player needs a new coach badly.","
Drama, Family, Sport            ",https://www.imdb.com/title/tt1422916/
The Cup,"
While the soccer World Cup is being played in France, two young Tibetan refugees arrive at a monastery/boarding school in exile in India. Its atmosphere of serene contemplation is somewhat ...                <a href=""/title/tt0201840/plotsummary"">See full summary</a> »
","
Comedy, Sport            ",https://www.imdb.com/title/tt0201840/
Slam Dunk,"
Hanamichi Sakuragi is a delinquent with a long history of getting dumped by girls. After enrolling in Shohoku High School, Hanamichi becomes interested in a girl named Haruko who loves the game of basketball.","
Animation, Comedy, Drama            ",https://www.imdb.com/title/tt15242330/
The Club,"
Boardroom and dressing-room intrigues spill on to the field at the Australian Rules football club.","
Comedy, Drama, Sport            ",https://www.imdb.com/title/tt0080546/
Penitentiary III,"
A man is framed for murder and sent to prison. He is beaten and tortured, then forced to fight the prison's worst killer, a martial-arts fighting midget called Thud.","
Action, Crime, Drama            ",https://www.imdb.com/title/tt0093714/
Soccer Killer,"
In the Song Dynasty, a group of patriots play soccer against the traitor with a team of foreign enemies, royal pro-nobles, bandits, martial arts masters and embrace the country hatred to ...                <a href=""/title/tt6513338/plotsummary"">See full summary</a> »
","
Comedy, Sport            ",https://www.imdb.com/title/tt6513338/
Shifting Gears,"
An overworked dad, missing out on his kids growing, takes an opportunity to start a ""family business"" thinking it will draw his family closer together - That is just mistake number one.","
Comedy, Drama, Family            ",https://www.imdb.com/title/tt4264610/
Budhia Singh: Born to Run,"
A biopic about Budhia Singh, the world's youngest marathon runner whose story garnered controversy and inspiration around the world.","
Biography, Drama, Sport            ",https://www.imdb.com/title/tt5805252/
"Wine, Women and Horses","
Gamblers Jim Turner and Valarie part company in Chicago and agree to meet at Saratoga with Jim stopping off at Barrowville en route. There, Jim meets George Mayhew and Eight Ball, a ...                <a href=""/title/tt0029782/plotsummary"">See full summary</a> »
","
Drama, Romance, Sport            ",https://www.imdb.com/title/tt0029782/
The Magnificent Eleven,"
A modernization of the classic western in which the Cowboys are a struggling local amateur soccer team, the Indians run a nearby Tandoori restaurant and the bandits are a group of menacing ...                <a href=""/title/tt1027873/plotsummary"">See full summary</a> »
","
Comedy, Drama, Sport            ",https://www.imdb.com/title/tt1027873/
A Fighting Man,"
Haunted by a tragic past, undefeated washed up boxer Sailor O'Connor is a broken man. When a fluke opportunity arises to step back in the ring, he takes it. Now he must stay on his feet throughout a bloody, brutal beating in the ring.","
Drama, Sport            ",https://www.imdb.com/title/tt2854894/
Back in the Day,"
A young boxer is taken under the wing of a mob boss after his Mother dies and his Father is run out of town for being an abusive alcoholic.","
Drama, Sport            ",https://www.imdb.com/title/tt3349772/
Beyond the River,"
Inspired by the true story of Siseko Ntondini and Piers Cruickshanks, who together won gold in the 2014 Dusi Canoe Marathon,""Beyond the River"" delivers a nail-biting adventure story about the triumph of the human spirit.","
Drama, Sport            ",https://www.imdb.com/title/tt4997036/
Guys and Balls,"
After their most recent loss, a soccer team discovers its goalie is gay and casts him out. He retaliates by bringing back an all-gay team for a game to prove who's better.","
Comedy, Drama, Romance            ",https://www.imdb.com/title/tt0375911/
The Squeeze,"
A humble young man with uncommon skills from a small southern town gets caught up in high stakes golf matches between big-time gamblers until the game becomes life and death.","
Comedy, Drama, Sport            ",https://www.imdb.com/title/tt3248600/
Berlin '36,"
In the days leading up to the 1936 Olympics, the fate of high jumper Gretel Bergmann hangs in the balance as it is decided whether or not a Jewish athlete can be a part of the German Olympic team.","
Drama, History, Sport            ",https://www.imdb.com/title/tt1298540/
The Story of Jojo the Boxer,"
Jojo, a 14 year old boxer, is determined to make it but questions the meaning of it all. His dad, also his coach, takes him back to Ghana, West Africa to find the answers. Joseph meets his match and learns from boxing greats.","
Sport            ",https://www.imdb.com/title/tt18468880/
Sweetwater,"
In the fall of 1950, the game of basketball changed forever when Nat ""Sweetwater"" Clifton entered the NBA. The story of the first African American contracted to play in the NBA.","
Drama, Sport            ",https://www.imdb.com/title/tt2365971/
The Savant,"
An autistic high school student with fighting abilities is trained by a suspended police officer who has dreams of becoming a MMA fighter.","
Action, Drama, Sport            ",https://www.imdb.com/title/tt7036540/
The Last Whistle,"
When the all-star player of the local high school football team collapses during practice, all eyes turn to the storied head coach. Instead of mollifying the situation, the coach tries to ...                <a href=""/title/tt8318348/plotsummary"">See full summary</a> »
","
Drama, Sport            ",https://www.imdb.com/title/tt8318348/
Twelve,"
A young boy, with help from his family, lets nothing stand between him and his dream to play in the twelve-year-old world series.","
Family, Sport            ",https://www.imdb.com/title/tt7033498/
The Rocket,"
A story about Quebec's most famous hockey player, Maurice ""The Rocket"" Richard, focusing on the struggles of a French Canadian in the National Hockey League dominated by Anglophones.","
Biography, Drama, Sport            ",https://www.imdb.com/title/tt0460505/
As One,"
""As One"" is the cinematic retelling of the first ever post-war Unified Korea sports team, hastily formed to participate in the 41st World Table Tennis Championships in 1991. Following the ...                <a href=""/title/tt2328503/plotsummary"">See full summary</a> »
","
Drama, Sport            ",https://www.imdb.com/title/tt2328503/
Vijeta,"
When Maharashtra performs poorly at the National Games in Kerala, Soumitra, a mind coach, is appointed for the job. He uses incidents from the athletes' pasts to inspire them and make them ...                <a href=""/title/tt11714964/plotsummary"">See full summary</a> »
","
Drama, Sport            ",https://www.imdb.com/title/tt11714964/
Turning Tide,"
It tells the story of Yann Kermadec whose dreams suddenly come true when he has to replace the DCNS star skipper at the last minute before the start of the Vendée Globe (a round-the-world ...                <a href=""/title/tt2165236/plotsummary"">See full summary</a> »
","
Adventure, Drama, Sport            ",https://www.imdb.com/title/tt2165236/
Takim: Mahalle Askina!,"
A misfit group of street soccer players bond and create a team in hopes of winning a tournament in order to raise enough money to save their neighborhood from the hands of Turkish construction giants.","
Comedy, Drama, Romance            ",https://www.imdb.com/title/tt5074648/
Fist Fighter,"
An ex-boxer comes back to a town called Rosario in South America taking revenge for the death of a friend.","
Action, Drama, Sport            ",https://www.imdb.com/title/tt0094599/
Anabolic Life,"
A young man obsessed with body image is thrust into a world of steroids, crime, and deception.","
Sport, Thriller            ",https://www.imdb.com/title/tt3259276/
The Hell of '63,"
When conditions are right, an infamous ice-skating race is held in the north of the Netherlands. The 200-km race must be completed by midnight and everyone who finishes receives a medal. ...                <a href=""/title/tt1156132/plotsummary"">See full summary</a> »
","
Drama, Sport            ",https://www.imdb.com/title/tt1156132/
Kuroko no Basket Movie 1: Winter Cup Soushuuhen - Kage to Hikari,"
First of three compilation films of the anime series 'Kuroko no Basket'.","
Animation, Sport            ",https://www.imdb.com/title/tt6597832/
Kickoff,"
In 5-man-a-side soccer, a newly formed gay team goes up against an established team with a deserved reputation for violence and a skittish first-time official, with more action off-field than on.","
Comedy, Drama, Sport            ",https://www.imdb.com/title/tt1450326/
The Kick,"
After the son foils an attempt to steal a priceless Thai artifact, the family becomes national heroes and the target of revenge by the criminal gang whose robbery they stopped.","
Action, Sport            ",https://www.imdb.com/title/tt2020110/
Spring Fever,"
Tough girl from Vegas (Carling Bassett) travels to Florida with her promiscuous mother (Susan Anton) to compete in the Junior Nationals Women's Tennis championship.","
Comedy, Drama, Sport            ",https://www.imdb.com/title/tt0084718/
Billy the Kid and the Green Baize Vampire,"
Cocky, flatulent, cockney snooker player Billy Kid accepts the challenge of a grudge match from Maxwell Randall ( the Green Baize Vampire ) , six times world champion. The loser will never ...                <a href=""/title/tt0088807/plotsummary"">See full summary</a> »
","
Comedy, Horror, Musical            ",https://www.imdb.com/title/tt0088807/
Kickboxing Academy,"
Watch your nose in the hallways, these guys can really kick. In this fight flick, the students of a kickboxing academy take on students from a rival school.","
Action, Comedy, Sport            ",https://www.imdb.com/title/tt0119456/
Chasing 3000,"
Two brothers drive across country to see their hero, Roberto Clemente, get his 3000th hit.","
Family, Sport            ",https://www.imdb.com/title/tt0483586/
Beyond the Mat,"
A tale about two best friends, an uncensored look into the perilous world of high school wrestling, and the story of a teen who overcomes self doubt to find his true place.","
Drama, Sport            ",https://www.imdb.com/title/tt1207922/
Thammudu,"
An aimless student is banished from his home by his father. When his brother, a boxing champion, gets injured, the student must step up and take his brother's place.","
Action, Drama, Sport            ",https://www.imdb.com/title/tt0240084/
The Wild Soccer Bunch 5,"
A team of heroes faces their most dangerous opponents in the Shadow Realm, soccer playing vampires.","
Action, Adventure, Family            ",https://www.imdb.com/title/tt1058579/
The Wrestler,"
Frank Bass takes a stand and defends what he thinks is right. Gamblers and money-grubbing conspire to corrupt the industry. Frank's efforts climax as he promotes an over-the-hill champion in the final matches of his career.","
Action, Crime, Drama            ",https://www.imdb.com/title/tt0070930/
Ping Pong Playa,"
A kid dreams of playing professional basketball in order to escape his dead-end job, living in the suburbs, his bossy older brother and running his Mom's ping pong classes.","
Comedy, Sport            ",https://www.imdb.com/title/tt0991167/
Unbeatable,"
Fai, once a world champion in boxing, escapes to Macau from the loan sharks and unexpectedly encounters Qi, a young chap who is determined to win a boxing match. Fai becomes Qi's mentor and...                <a href=""/title/tt3003668/plotsummary"">See full summary</a> »
","
Action, Drama, Sport            ",https://www.imdb.com/title/tt3003668/
On the Edge,"
In one final attempt to achieve victory, an aging professional runner is training vigorously for a very tough marathon race.","
Drama, Sport            ",https://www.imdb.com/title/tt0091677/
Float Like a Butterfly,"
From the producers of Once and Sing Street, Float Like a Butterfly is a powerful and timely story of a girl's fight for freedom and belonging. In a gender-reversal of classic film Billy ...                <a href=""/title/tt7636672/plotsummary"">See full summary</a> »
","
Drama, History, Sport            ",https://www.imdb.com/title/tt7636672/
Delivery Boys,"
A gang of boys under the Brooklyn Bridge are united by their common interest in break dancing. Some work as pizza delivery boys, hence they call themselves the ""Delivery Boys"". They form a ...                <a href=""/title/tt0087134/plotsummary"">See full summary</a> »
","
Comedy, Sport            ",https://www.imdb.com/title/tt0087134/
108 Stitches,"
With the longest losing streak in baseball history and a university determined to disband them, a team of misfits have one afternoon to fill their stadium, sign the top recruit on the planet, and send their coach out with a bang.","
Comedy, Romance, Sport            ",https://www.imdb.com/title/tt3073898/
Take Down,"
An unqualified teacher finds himself saddled with coaching duties after a small group of high school seniors form a wrestling team in a last ditch effort to end a 9-year losing streak against a rival school.","
Comedy, Drama, Family            ",https://www.imdb.com/title/tt0078358/
Blood and Glory,"
Set during the Anglo Boer War, prisoners of war take a stand against their captors","
Drama, History, Sport            ",https://www.imdb.com/title/tt4700248/
Streets of Gold,"
Alek is an immigrant who has just moved to the U. S. He was banned from competing for the USSR Olympic boxing team because of his religion. Depressed and alcoholic, he finds happiness and redemption when he trains two fighters.","
Drama, Sport            ",https://www.imdb.com/title/tt0092022/
Racket Girls,"
A money launderer uses women's wrestling as a front for his illegal activities, but earns the enmity of a powerful mobster.","
Action, Crime, Drama            ",https://www.imdb.com/title/tt0043954/
The Circuit,"
Years ago, Dirk Longstreet walked away from The Circuit, the merciless underground fight club with no rules, where money changes hands as men are killed. But now gangsters have got his ...                <a href=""/title/tt0309452/plotsummary"">See full summary</a> »
","
Action, Drama, Sport            ",https://www.imdb.com/title/tt0309452/
For the Glory,"
""Golden boy"" Kurt Kuykendall (Jason Burkey) has it all: good looks, a spot on his college basketball team, and hopes for playing in the Olympics. But behind the closed doors of his Bethesda...                <a href=""/title/tt1832354/plotsummary"">See full summary</a> »
","
Drama, Sport            ",https://www.imdb.com/title/tt1832354/
Bibi & Tina: Mädchen gegen Jungs,"
Best friends Bibi and Tina must come to terms with an exchange pupil who cheats to undermine their endeavors to win a geocache search/treasure hunt.","
Adventure, Comedy, Family            ",https://www.imdb.com/title/tt4997398/
Rodeo Girl: Dream Champion,"
Shipped off to her American dad's ranch for the summer, a teen and her horse Lucky Lass compete for a spot at the National Youth Rodeo.","
Drama, Family, Sport            ",https://www.imdb.com/title/tt4062896/
Fiesta,"
When a matador leaves town to focus on his music, his twin sister takes on his identity in the bullfighting ring.","
Drama, Musical, Romance            ",https://www.imdb.com/title/tt0039377/
Counterpunch,"
A young boxer, Emilio, from the wrong side of the tracks with big dreams of winning the Golden Gloves boxing championship, finds himself at a cross roads after being locked up.","
Action, Biography, Drama            ",https://www.imdb.com/title/tt2051850/
Lessons of a Dream,"
An English teacher brings soccer from England to Germany in the late 19th Century by teaching it to his class.","
Drama, Sport            ",https://www.imdb.com/title/tt1686768/
The Dream Team,"
A former footballer living in Brittany enlists his old teammates to help the local fisherman to win some games in order to raise money and save jobs.","
Comedy, Sport            ",https://www.imdb.com/title/tt1850394/
Badri,"
When a kickboxer gets attacked by his enemies and ends up bedridden, his brother sets out to fulfil his dream of winning the kickboxing championship.","
Action, Sport            ",https://www.imdb.com/title/tt2778674/
Chasing the Green,"
Two brothers in their 20's become millionaires, and almost lose everything to an over-zealous bureaucrat.","
Drama, Romance, Sport            ",https://www.imdb.com/title/tt1090312/
Golden Shoes,"
With his father missing in action, and his mother critical in hospital, a young boy consoles himself with dreams of playing in the youth soccer league. To do so, he must overcome adult deception, bullying, and his solitude.","
Family, Sport            ",https://www.imdb.com/title/tt2346406/
Soccer Dog: The Movie,"
A heart-warming comedy about the friendship between the new kid in town and a soccer-playing dog on the lam from the dog-catcher. It's up to these two underdogs to win the PeeWee Soccer League championship game.","
Comedy, Family, Sport            ",https://www.imdb.com/title/tt0134969/
Australian Rules,"
In Prospect Bay, a remote outpost on the South Australian coast, two communities, the Goonyas and the Nungas, come together on the one field they have in common, the football field. But the...                <a href=""/title/tt0285006/plotsummary"">See full summary</a> »
","
Drama, Romance, Sport            ",https://www.imdb.com/title/tt0285006/
Yowamushi Pedal: The Movie,"
Inter High is over and the third years will be graduating soon. But Team Sohoku receives an invitation to one last race, the Kumamoto Fire Country Race.","
Animation, Comedy, Romance            ",https://www.imdb.com/title/tt4982154/
Avellaneda's Moon,"
The story of a social and sports club in a Buenos Aires neighborhood and of those who try to save it from being closed.","
Comedy, Drama, Sport            ",https://www.imdb.com/title/tt0347449/
Karate Killer,"
Two former ranking figures of the Axis powers schedule a deadly martial arts tournament in an isolated locale. The two rivals then race to assemble the top competitors from around the world...                <a href=""/title/tt0080999/plotsummary"">See full summary</a> »
","
Action, Drama, Sport            ",https://www.imdb.com/title/tt0080999/
The Wild Soccer Bunch 6,"
7 Kids train hard to defend the legendary Footballfield of the wild guys to Fat Michi and the Galactic Footballers.","
Action, Adventure, Family            ",https://www.imdb.com/title/tt5126792/
Rough House Rosie,"
A poor but ambitious young girl is determined to crash high society, but isn't prepared for the reception she receives.","
Comedy, Romance, Sport            ",https://www.imdb.com/title/tt0018345/
The Investigator,"
A veteran police detective becomes a criminal justice teacher and baseball coach at a local high school, leading him to the most important investigation of his life. Inspired by true events.","
Drama, Family, Sport            ",https://www.imdb.com/title/tt1922748/
Kalathil Sandhippom,"
The story of two friends, Anand and Ashok, story revolving around them on their love, sports, family bondings.","
Drama, Sport            ",https://www.imdb.com/title/tt8144782/
Backwards,"
When a fiercely competitive 30 year old rower fails to make the Olympic boat for the second time, she takes a coaching job at a school but struggles to adjust to life off the race course.","
Romance, Sport            ",https://www.imdb.com/title/tt2005153/
800,"
The journey of Sri Lankan cricket legend Muttiah Muralitharan on how he became the highest wicket taker of all time through struggle, failure and violence within the country where he signs off his career with 800 wickets in his last game.","
Biography, Sport            ",https://www.imdb.com/title/tt11731118/
Unrivaled,"
The best fighter in the world works two jobs. The only problem... he doesn't know he's the best. Ringo Duran, the son of Gracie Duran, a famous Argentinian kick boxer, works two jobs to ...                <a href=""/title/tt1426325/plotsummary"">See full summary</a> »
","
Action, Drama, Sport            ",https://www.imdb.com/title/tt1426325/
Casey's Shadow,"
Casey is a young boy in a family that trains racehorses. His best friend, a foal they call ""Casey's Shadow"", looks to be a loser, but comes out a champion.","
Drama, Family, Sport            ",https://www.imdb.com/title/tt0077303/
Underdogs Rising,"
        ","
Adventure, Sport            ",https://www.imdb.com/title/tt8228264/
Diving In,"
","
Comedy, Drama, Sport            ",https://www.imdb.com/title/tt0101741/
Brainwashed,"
A high school diver fights his fear of heights and diving to get onto the team. He gets onto the team, only to find that he must dive the high platform in order to compete. His problems are...                <a href=""/title/tt0101741/plotsummary"">See full summary</a> »
","
Drama, Sport, War            ",https://www.imdb.com/title/tt0054272/
The Tournament,"
In 1938 Austria shortly after the Nazi occupation, a prominent Viennese intellectual, Werner von Basil, is arrested for smuggling art treatures out of the country and imprisoned by the ...                <a href=""/title/tt0054272/plotsummary"">See full summary</a> »
","
Drama, Sport            ",https://www.imdb.com/title/tt3693878/
The Crowd Roars,"
Budapest International Chess Tournament. The most likely winner: Cal Fournier (22), French champion, immature genius, socially awkward, compulsive player. But this time, an unusual 9-...                <a href=""/title/tt3693878/plotsummary"">See full summary</a> »
","
Action, Drama, Sport            ",https://www.imdb.com/title/tt0022792/
Voin,"
Race car driver becomes overprotective of his brother when he decides to become a racer as well.","
Sport            ",https://www.imdb.com/title/tt4649814/
American Pastime,"
Film tells about duty and life values, shown through the prism of the lives of two brothers: strong and proud people. The story of a family, of the wounds in the hearts that hurt for ...                <a href=""/title/tt4649814/plotsummary"">See full summary</a> »
","
Drama, Romance, Sport            ",https://www.imdb.com/title/tt0825225/
Home of the Giants,"
The dramatic impact W.W.II had in the home-front as U.S. Japanese families were uprooted from their daily lives and placed in internment camps in western States in the early 1940s.","
Crime, Drama, Sport            ",https://www.imdb.com/title/tt0471005/
Cupid's Balls,"
Gar is a high school journalist who covers the basketball team as it heads toward a state championship; when his best friend Matt, the team's star, is asked by a drug dealer to throw the big game, Gar inevitably gets caught in the middle.","
Comedy, Drama, Romance            ",https://www.imdb.com/title/tt1695763/
Young Again,"
Lucas, a teenage boy, moves to a small town in Norway from Stockholm, Sweden. He falls for Susanne, who is on the girl's football team and is dating the captain of the boy's football team. ...                <a href=""/title/tt1695763/plotsummary"">See full summary</a> »
","
Drama, Sport            ",https://www.imdb.com/title/tt1303678/
"Maradona, the Hand of God","
American-born Asian graduate student, Eric Young, is lured back to college baseball field one final time, passing himself off as 10 years younger to try out for the Division 2 Volcanos.","
Biography, Drama, Sport            ",https://www.imdb.com/title/tt0465737/
Whiplash,"
The life of the former football player Diego Armando Maradona is recreated in this film, from his childhood up to his first heart attack and his firm decision of recovering himself, passing...                <a href=""/title/tt0465737/plotsummary"">See full summary</a> »
","
Drama, Film-Noir, Sport            ",https://www.imdb.com/title/tt0040963/
My Brother... Nikhil,"
A struggling artist becomes a New York City prizefighter in an attempt to win the affection of the ring promoter's night club singing sister.","
Drama, Sport            ",https://www.imdb.com/title/tt0419992/
The Little Queen,"
Famous swimmer Nikhil Kapoor (Suri) deals with the repercussions of announcing the fact that he has HIV/AIDS.","
Biography, Drama, Sport            ",https://www.imdb.com/title/tt3025410/
The Giant,"
Julie, star of cycling, is two races to win the World Cup. It is the culmination of years of effort. Julie loves the spotlight. His entourage too. Encouraged by her coach and doctor, she ...                <a href=""/title/tt3025410/plotsummary"">See full summary</a> »
","
Drama, Sport            ",https://www.imdb.com/title/tt4135076/
Shergar,"
Rikard is an autistic and severely deformed man who was separated from his mother at birth. Thirty years later he is convinced that he will get her back if only he wins the Scandinavian Championship of pétanque. He tries to do the impossible. His fragile physique and a harsh judging environment are not going to stop him. Plus there is a 200 foot giant on his side.","
Crime, Drama, Romance            ",https://www.imdb.com/title/tt0121744/
Steel Arena,"
When a young stable boy runs away from reform school, he befriends another fugitive, champion racehorse Shergar, kidnapped by the Irish Republican Army for ransom but now on the loose. Can the lad elude the abductors and rescue the horse?","
Action, Drama, Sport            ",https://www.imdb.com/title/tt0070730/
Long Live Chainsaw,"
Dusty Russell shows off his talent as the greatest daredevil on the circuit. Later, he awaits the biggest challenge of his career.","
Sport            ",https://www.imdb.com/title/tt16103248/
A Little Inside,"
Long Live Chainsaw from Red Bull Media House and Anthill Films, reveals the true story of the meteoric rise, untimely death and long-lasting legacy of Canadian downhill mountain bike legend...                <a href=""/title/tt16103248/plotsummary"">See full summary</a> »
","
Comedy, Drama, Family            ",https://www.imdb.com/title/tt0256150/
Red Wood Pigeon,"
A professional baseball player tries to single-handedly raise his young daughter while pursuing his own dreams.","
Comedy, Sport            ",https://www.imdb.com/title/tt0098055/
When's Your Birthday?,"
Because of an accident, Michele (a leader of P.C.I. and a water-polo player) loses his memory. During one water-polo match, strange guys torment him; they want him to remember his past. As ...                <a href=""/title/tt0098055/plotsummary"">See full summary</a> »
","
Comedy, Sport            ",https://www.imdb.com/title/tt0029764/
Rhubarb,"
Some shady characters discover that a sad sack nightclub bus boy has the ability to predict outcomes of races and other events through astrology.","
Comedy, Family, Sport            ",https://www.imdb.com/title/tt0043967/
