title,sinopse,genres,title_url
Untitled Lenny Dykstra Project,"
Memories of Michael' follows the journey of promising young club fighter Michael Wilson (Andrew Gordon) and his battle with a life-changing illness. A story of love, self-discovery, friendship, pride and the fighting spirit.","
Biography, Drama, Sport            ",https://www.imdb.com/title/tt3784648/
Os Trapalhões e o Rei do Futebol,"
The rise and fall of Major League Baseball star Lenny Dykstra.","
Comedy, Family, Sport            ",https://www.imdb.com/title/tt0139658/
Too Many Winners,"
The team of Galinheiro Futebol Clube, formed by emeritus fighters, has as technical Cardea, advised by three direct assistants: Elvis, former player as Cardinal and aspiring singer; Fumê, ...                <a href=""/title/tt0139658/plotsummary"">See full summary</a> »
","
Crime, Drama, Mystery            ",https://www.imdb.com/title/tt0039906/
Race for Life,"
Michael Shayne accepts an assignment to investigate a gang of pari-mutual race tickets counterfeiters over the protests of his secretary, Phyllis Hamilton, who wants him to join her on a ...                <a href=""/title/tt0039906/plotsummary"">See full summary</a> »
","
Drama, Sport            ",https://www.imdb.com/title/tt0047385/
El Hijo de Dios,"
A car pilot must choose between his love for car-racing, and his wife. His buddy's accident will help him to choose, and his loyal ways will get him a new friend - his main rival.","
Comedy, Sport, Western            ",https://www.imdb.com/title/tt3263192/
The Pinch Hitter,"
THE SON OF GOD is a film about football. Frame as a parody of the western genre code, it plays with the idea of placing the book 'Football - Dynamics of the unthinkable' by D.Panzeri, in ...                <a href=""/title/tt3263192/plotsummary"">See full summary</a> »
","
Comedy, Sport            ",https://www.imdb.com/title/tt0016224/
Mr. Karate,"
        <a href=""/updates?update=tt0016224%3Aoutlines.add.1"">Add a Plot</a>
","
Action, Adventure, Musical            ",https://www.imdb.com/title/tt0418906/
Lisensyadong kamao,"
        <a href=""/updates?update=tt0418906%3Aoutlines.add.1"">Add a Plot</a>
","
Action, Comedy, Sport            ",https://www.imdb.com/title/tt0478701/
The Wrestling Road Diaries,"
        <a href=""/updates?update=tt0478701%3Aoutlines.add.1"">Add a Plot</a>
","
Sport            ",https://www.imdb.com/title/tt2299573/
Tottenham Hotspur vs Arsenal,"
Three independent wrestlers (Colt Cabana, Sal Rinauro and Bryan Danielson) document their trials and tribulations whilst travelling across America.","
Sport            ",https://www.imdb.com/title/tt13624648/
"100% lucha, la película","
        <a href=""/updates?update=tt13624648%3Aoutlines.add.1"">Add a Plot</a>
","
Action, Adventure, Comedy            ",https://www.imdb.com/title/tt1254709/
Underdog: Part Two,"
Koshe Plostenko (Carlos Kaspar), a mob man, is in charge of an underground fight club. In the name of his business, he proposes to kidnap the professional fighters of 100 % Lucha so that ...                <a href=""/title/tt1254709/plotsummary"">See full summary</a> »
","
Drama, Sport            ",https://www.imdb.com/title/tt14051624/
Step Up Revolution Dance Workout,"
Suenaga finds his life on the verge of collapsing as violence consumes those around him. However, he finds a worthy opponent in Omura, an up-and-coming wunderkind who is trying to escape ...                <a href=""/title/tt14051624/plotsummary"">See full summary</a> »
","
Sport            ",https://www.imdb.com/title/tt2530096/
The Personality Kid,"
A series of four dance workouts featuring music and moves from the hit movie, Step Up Revolution. From the living room to the dance floor, these are moves that you can do anywhere!","
Comedy, Crime, Romance            ",https://www.imdb.com/title/tt0025645/
Libero,"
This movie portrays the West German footballer <a href=""/name/nm0065325"">Franz Beckenbauer</a>, one of the best players in the world. It shows the ups and downs of being a superstar.","
Sport            ",https://www.imdb.com/title/tt0070309/
Soften!,"
The school has its own baseball team. The trouble is that there are nine of them and several of the girls are too weak, too small, too fat, too inexperienced, etc. They are in trouble. What...                <a href=""/title/tt3725082/plotsummary"">See full summary</a> »
","
Comedy, Sport            ",https://www.imdb.com/title/tt3725082/
Tatchi 2: Sayonara no Okurimono,"
        <a href=""/updates?update=tt6863922%3Aoutlines.add.1"">Add a Plot</a>
","
Animation, Drama, Sport            ",https://www.imdb.com/title/tt6863922/
Burn 'Em Up Barnes,"
Car racer Burn 'em Up Barnes, son of a wealthy manufacturer, leaves home to make his own way in the world. After being robbed by hoodlums, Barnes joins a group of hobos who take him in and ...                <a href=""/title/tt0012017/plotsummary"">See full summary</a> »
","
Action, Adventure, Comedy            ",https://www.imdb.com/title/tt0012017/
Slingshot,"
A chronicle of the life of champion race-car driver Bill Caswell.","
Action, Biography, Drama            ",https://www.imdb.com/title/tt1965096/
Loud as Lions,"
When the varsity football team of Rogersville , Tennessee , along with the coach , are killed in a tragic accident , the coach's estranged younger brother returns to rebuild the team , the town and his own life.","
Drama, Sport            ",https://www.imdb.com/title/tt5291856/
Futbaal: The Price of Dreams,"
When the Iranian National Soccer team comes to America to play the U.S. team, BABAK is their captain. He is the young, handsome face of the team with the quick moves of a lightweight boxer....                <a href=""/title/tt0772189/plotsummary"">See full summary</a> »
","
Sport            ",https://www.imdb.com/title/tt0772189/
Thoroughbred,"
A plot is planned to kill favored Stormalong before the Melbourne Cup.","
Crime, Drama, Sport            ",https://www.imdb.com/title/tt0028364/
Freedom Park,"
        <a href=""/updates?update=tt0386474%3Aoutlines.add.1"">Add a Plot</a>
","
Comedy, Sport            ",https://www.imdb.com/title/tt0386474/
"Pour toujours, les Canadiens!","
William Langlois, 17, is the star player of his hockey team at the French College of Longueuil. At the end of the season, a few weeks before Christmas, he goes through a slump, demoralized ...                <a href=""/title/tt1295912/plotsummary"">See full summary</a> »
","
Drama, History, Sport            ",https://www.imdb.com/title/tt1295912/
Captain Tsubasa Movie 05 - The Most Powerful Opponent! Netherlands Youth,"
The last Captain Tsubasa movie is about the match between Japan and Holland. After the Japanese team lost two games against this apparently supreme opponent, their confidence is at its ...                <a href=""/title/tt11290934/plotsummary"">See full summary</a> »
","
Animation, Drama, Sport            ",https://www.imdb.com/title/tt11290934/
The Bruising Fields,"
        ","
History, Sport            ",https://www.imdb.com/title/tt13986142/
Ice Pawn,"
","
Drama, Sport            ",https://www.imdb.com/title/tt0167205/
"Oh, Baby!","
A young man sets out to become a champion ice skater to win the Olympic gold medal, only his promoter, as well as his coach, sponsors, and father want to use him for their own advantage to make money from his newfound publicity.","
Action, Comedy, Drama            ",https://www.imdb.com/title/tt0017224/
Excuse My Glove,"
        <a href=""/updates?update=tt0017224%3Aoutlines.add.1"">Add a Plot</a>
","
Comedy, Sport            ",https://www.imdb.com/title/tt0026326/
La pelea de mi vida,"
A young man, whose main interest in life is stained glass, accidentally accepts a challenge to fight in a fair boxing booth.","
Drama, Sport            ",https://www.imdb.com/title/tt2206330/
The Winner's Circle,"
Alex, Juliani's biological father, and Bruno, the current world boxing champion and Juliani's guardian, fight for the title on who should become responsible for the boy's upbringing.","
Drama, Sport            ",https://www.imdb.com/title/tt0040969/
Smith of Minnesota,"
The life story of a famous race horse, told primarily by a narrator in a semi-documentary fashion, with more than a little bit of revisionism. It begins with the colt's wobbly-legged days, ...                <a href=""/title/tt0040969/plotsummary"">See full summary</a> »
","
Drama, Sport            ",https://www.imdb.com/title/tt0035346/
Shippû rondo,"
The Heisman Trophy winner from the university of Minnesota, enlists in the Navy and becomes a fighter pilot during WWII","
Action, Comedy, Drama            ",https://www.imdb.com/title/tt5633600/
Huddle,"
A biological weapon is the subject of a ransom demand seemingly from a former and disgruntled employee and, considering the potential for damage to reputation and panic, the laboratory ...                <a href=""/title/tt5633600/plotsummary"">See full summary</a> »
","
Drama, Romance, Sport            ",https://www.imdb.com/title/tt0023034/
Gun & Goal,"
Tony, the son of Italian immigrants, works in a smoky steel mill in Gary, Indiana. He wins a company scholarship which will enable him to attend Yale college. Over the four years of his ...                <a href=""/title/tt0023034/plotsummary"">See full summary</a> »
","
Crime, Drama, Sport            ",https://www.imdb.com/title/tt4506106/
The Pace That Thrills,"
        <a href=""/updates?update=tt4506106%3Aoutlines.add.1"">Add a Plot</a>
","
Action, Drama, Romance            ",https://www.imdb.com/title/tt0045006/
Wacky Races,"
Hot shot motorcycle racer Dusty Weston takes too many chances. He and his design partner Chris Rhodes agree on almost everything, but reporter Eve Drake arrives to do a story. Both men fall...                <a href=""/title/tt0045006/plotsummary"">See full summary</a> »
","
Animation, Comedy, Fantasy            ",https://www.imdb.com/title/tt9190898/
Muggsy,"
Plot unknown.","
Biography, Drama, Sport            ",https://www.imdb.com/title/tt4878432/
"Bump, Set, Spike","
The untold story of Tyrone ""Muggsy"" Bogues, who at only 5'3"" tall overcame impossible odds to become the shortest professional player ever in the National Basketball Association.","
Family, Sport            ",https://www.imdb.com/title/tt11055036/
Waldo the Dog,"
A national volleyball star is paralyzed in a car accident, but finds new hope in coaching a youth girls' volleyball team, and rekindling a 20-year-old flame.","
Comedy, Drama, Romance            ",https://www.imdb.com/title/tt1615908/
The Winning Circle,"
A guilt and shame ridden mentally unstable young man wears a dog mask in order to cope.","
Drama, Sport            ",https://www.imdb.com/title/tt2920538/
Slutspel,"
The Christian based story of a young boy named TJ, a BMX racer, who discover what it means to be a Christian from his older cousin. TJ learns about the power of forgiveness and love, even ...                <a href=""/title/tt2920538/plotsummary"">See full summary</a> »
","
Comedy, Crime, Sport            ",https://www.imdb.com/title/tt0120149/
Les collègues,"
Johan is a 35 year old soccer fan, unemployed but living by his wits and charm. During the Soccer World Championships in 1990 all Swedes want to follow the games, including Johan who ...                <a href=""/title/tt0120149/plotsummary"">See full summary</a> »
","
Comedy, Sport            ",https://www.imdb.com/title/tt0167833/
Magic Samson,"
This is the story of a small Marseilles football club on the verge of extinction that ends up in an amateur tournament organised during the World Cup (inevitably referred to as ""La ...                <a href=""/title/tt0167833/plotsummary"">See full summary</a> »
","
Comedy, Drama, Sport            ",https://www.imdb.com/title/tt0151531/
The White Shadow,"
Shimshon is the divorced father of 10-year-old Roni, and the worst player on his pro basketball team. In response to his ex-wife's taunts, he finds within himself the ability to achieve the impossible - both on and off the court.","
Comedy, Sport            ",https://www.imdb.com/title/tt1714207/
Versus,"
A white former NBA professional retires from the pro game and gets a job as a basketball coach in a predominantly black inner-city high school.","
Action, Drama, Sport            ",https://www.imdb.com/title/tt13875954/
I Superbiker 2 - The Showdown,"
Firefighter Alex Novak loses his best friend in a fire. Driven by despair, he begins training for MMA with his mentor Ray Pena, ultimately pushing him to the top ranks of professional fighting.","
Sport            ",https://www.imdb.com/title/tt3415620/
The Race,"
Enjoy the ultimate in British Superbike action! This is the high octane, all action, nail-biting wheel to wheel story of the 2011 British Superbike season with explosive action sequences and exclusive behind-the-scenes material!","
Drama, Sport            ",https://www.imdb.com/title/tt11257606/
Mongol Guerrero,"
The Race is the story of one the the original TT racers in Europe pioneering the way the sport unfolds in history, and his relationship with his family on the road.","
Biography, Drama, Sport            ",https://www.imdb.com/title/tt3334206/
Champion,"
        ","
Sport            ",https://www.imdb.com/title/tt6636978/
Full Speed or Nothing,"
","
Action, Comedy, Sport            ",https://www.imdb.com/title/tt1849771/
Something Between,"
        ","
Sport            ",https://www.imdb.com/title/tt2664068/
"No Futebol, Nasce uma Esperança","
","
Drama, Sport            ",https://www.imdb.com/title/tt1144914/
