title,year,certificate,runtime,genre,synopsis,link
Ruas de Ouro,1986,Isn't Available,95 min," Drama, Sport "," Alek is an immigrant who has just moved to the U. S. He was banned from competing for the USSR Olympic boxing team because of his religion. Depressed and alcoholic, he finds happiness and redemption when he trains two fighters.",https://www.imdb.com/title/tt0092022/
Racket Girls,1951,Isn't Available,70 min," Action, Crime, Drama "," A money launderer uses women's wrestling as a front for his illegal activities, but earns the enmity of a powerful mobster.",https://www.imdb.com/title/tt0043954/
The Circuit,2002,R,91 min," Action, Drama, Sport "," Years ago, Dirk Longstreet walked away from The Circuit, the merciless underground fight club with no rules, where money changes hands as men are killed. But now gangsters have got his ... See full summary » ",https://www.imdb.com/title/tt0309452/
For the Glory,2012,Isn't Available,145 min," Drama, Sport "," Golden boy Kurt Kuykendall (Jason Burkey) has it all: good looks, a spot on his college basketball team, and hopes for playing in the Olympics. But behind the closed doors of his Bethesda... See full summary » ",https://www.imdb.com/title/tt1832354/
Bibi & Tina: Mädchen gegen Jungs,2016,Isn't Available,110 min," Adventure, Comedy, Family ", Best friends Bibi and Tina must come to terms with an exchange pupil who cheats to undermine their endeavors to win a geocache search/treasure hunt.,https://www.imdb.com/title/tt4997398/
Tempo de Mudanças,2016,PG,108 min," Drama, Family, Sport "," Shipped off to her American dad's ranch for the summer, a teen and her horse Lucky Lass compete for a spot at the National Youth Rodeo.",https://www.imdb.com/title/tt4062896/
Festa Brava,1947,Isn't Available,104 min," Drama, Musical, Romance "," When a matador leaves town to focus on his music, his twin sister takes on his identity in the bullfighting ring.",https://www.imdb.com/title/tt0039377/
Counterpunch,2019,R,97 min," Action, Biography, Drama "," A young boxer, Emilio, from the wrong side of the tracks with big dreams of winning the Golden Gloves boxing championship, finds himself at a cross roads after being locked up.",https://www.imdb.com/title/tt2051850/
Der ganz große Traum,2011,Isn't Available,113 min," Drama, Sport ", An English teacher brings soccer from England to Germany in the late 19th Century by teaching it to his class.,https://www.imdb.com/title/tt1686768/
Les seigneurs,2012,Isn't Available,97 min," Comedy, Sport ", A former footballer living in Brittany enlists his old teammates to help the local fisherman to win some games in order to raise money and save jobs.,https://www.imdb.com/title/tt1850394/
Badri,2001,Isn't Available,160 min," Action, Sport "," When a kickboxer gets attacked by his enemies and ends up bedridden, his brother sets out to fulfil his dream of winning the kickboxing championship.",https://www.imdb.com/title/tt2778674/
Chasing the Green,2009,Isn't Available,102 min," Drama, Romance, Sport "," Two brothers in their 20's become millionaires, and almost lose everything to an over-zealous bureaucrat.",https://www.imdb.com/title/tt1090312/
Golden Shoes,2015,Isn't Available,89 min," Family, Sport "," With his father missing in action, and his mother critical in hospital, a young boy consoles himself with dreams of playing in the youth soccer league. To do so, he must overcome adult deception, bullying, and his solitude.",https://www.imdb.com/title/tt2346406/
Um Craque Animal,1999,PG,98 min," Comedy, Family, Sport ", A heart-warming comedy about the friendship between the new kid in town and a soccer-playing dog on the lam from the dog-catcher. It's up to these two underdogs to win the PeeWee Soccer League championship game.,https://www.imdb.com/title/tt0134969/
Australian Rules,2002,Isn't Available,95 min," Drama, Romance, Sport "," In Prospect Bay, a remote outpost on the South Australian coast, two communities, the Goonyas and the Nungas, come together on the one field they have in common, the football field. But the... See full summary » ",https://www.imdb.com/title/tt0285006/
Yowamushi Pedal: O Filme,2015,Isn't Available,90 min," Animation, Comedy, Romance "," Inter High is over and the third years will be graduating soon. But Team Sohoku receives an invitation to one last race, the Kumamoto Fire Country Race.",https://www.imdb.com/title/tt4982154/
Clube da Lua,2004,14,143 min," Comedy, Drama, Sport ", The story of a social and sports club in a Buenos Aires neighborhood and of those who try to save it from being closed.,https://www.imdb.com/title/tt0347449/
Matar ou ser Morto,1976,Isn't Available,94 min," Action, Drama, Sport ", Two former ranking figures of the Axis powers schedule a deadly martial arts tournament in an isolated locale. The two rivals then race to assemble the top competitors from around the world... See full summary » ,https://www.imdb.com/title/tt0080999/
Die Wilden Kerle 6 - Die Legende lebt,2016,Isn't Available,96 min," Action, Adventure, Family ", 7 Kids train hard to defend the legendary Footballfield of the wild guys to Fat Michi and the Galactic Footballers.,https://www.imdb.com/title/tt5126792/
Rosa Turbulenta,1927,Isn't Available,66 min," Comedy, Romance, Sport "," A poor but ambitious young girl is determined to crash high society, but isn't prepared for the reception she receives.",https://www.imdb.com/title/tt0018345/
The Investigator,II) (2013,PG-13,101 min," Drama, Family, Sport "," A veteran police detective becomes a criminal justice teacher and baseball coach at a local high school, leading him to the most important investigation of his life. Inspired by true events.",https://www.imdb.com/title/tt1922748/
Kalathil Sandhippom,2021,Isn't Available,138 min," Drama, Sport "," The story of two friends, Anand and Ashok, story revolving around them on their love, sports, family bondings.",https://www.imdb.com/title/tt8144782/
Começar de Novo,2012,PG,89 min," Romance, Sport "," When a fiercely competitive 30 year old rower fails to make the Olympic boat for the second time, she takes a coaching job at a school but struggles to adjust to life off the race course.",https://www.imdb.com/title/tt2005153/
800,IV,Isn't Available,Isn't Available," Biography, Sport "," The journey of Sri Lankan cricket legend Muttiah Muralitharan on how he became the highest wicket taker of all time through struggle, failure and violence within the country where he signs off his career with 800 wickets in his last game.",https://www.imdb.com/title/tt11731118/
Combate Final,2010,R,109 min," Action, Drama, Sport "," The best fighter in the world works two jobs. The only problem... he doesn't know he's the best. Ringo Duran, the son of Gracie Duran, a famous Argentinian kick boxer, works two jobs to ... See full summary » ",https://www.imdb.com/title/tt1426325/
Unidos por um Ideal,1978,Isn't Available,117 min," Drama, Family, Sport "," Casey is a young boy in a family that trains racehorses. His best friend, a foal they call Casey's Shadow, looks to be a loser, but comes out a champion.",https://www.imdb.com/title/tt0077303/
Underdogs Rising,,Isn't Available,Isn't Available," Adventure, Sport ", Add a Plot ,https://www.imdb.com/title/tt8228264/
Diving In,1990,Isn't Available,93 min," Comedy, Drama, Sport "," A high school diver fights his fear of heights and diving to get onto the team. He gets onto the team, only to find that he must dive the high platform in order to compete. His problems are... See full summary » ",https://www.imdb.com/title/tt0101741/
Até o Último Obstáculo,1960,Isn't Available,103 min," Drama, Sport, War "," In 1938 Austria shortly after the Nazi occupation, a prominent Viennese intellectual, Werner von Basil, is arrested for smuggling art treatures out of the country and imprisoned by the ... See full summary » ",https://www.imdb.com/title/tt0054272/
Le tournoi,2015,Isn't Available,83 min," Drama, Sport "," Budapest International Chess Tournament. The most likely winner: Cal Fournier (22), French champion, immature genius, socially awkward, compulsive player. But this time, an unusual 9-... See full summary » ",https://www.imdb.com/title/tt3693878/
Delirante,1932,Isn't Available,85 min," Action, Drama, Sport ", Race car driver becomes overprotective of his brother when he decides to become a racer as well.,https://www.imdb.com/title/tt0022792/
