title,year,certificate,runtime,genre,synopsis,link
1600 Meter,,Isn't Available,106 min," Drama, Family, Sport ", Add a Plot ,https://www.imdb.com/title/tt15048956/
Titanic,1927,Isn't Available,92 min," Drama, Romance, Sport "," After his mother and stepfather have been killed in a barge accident, John Breen is rescued from some East Side toughs by the Lipvitches. He remains in the city, determined to find his real... See full summary » ",https://www.imdb.com/title/tt0017841/
Dawn!,1979,Isn't Available,109 min," Biography, Drama, Sport ", Biopic of Australian 3 Time Olympic Gold Medalist swimmer Dawn Fraser.,https://www.imdb.com/title/tt0079029/
Zhi qi,2013,Isn't Available,125 min," Drama, Sport ", A girl makes friends for life when she joins the tug of war team at her new school.,https://www.imdb.com/title/tt3145558/
Carne e Unha,1938,Isn't Available,89 min," Drama, Sport "," A washed up, alcoholic Vet and a dreamer stable boy help nurse a sick race horse back to health.",https://www.imdb.com/title/tt0030786/
4 Deung,2015,Isn't Available,116 min," Drama, Sport "," A former Asian Games record breaker and Olympic tryout, Kim Gwang-su, endures beatings, abuse, and constant ridicule from his swimming coach. To justify this abusive behavior, his coach ... See full summary » ",https://www.imdb.com/title/tt5633396/
Sunny Skies,1930,Isn't Available,75 min," Comedy, Musical, Sport "," Rex Lease is the football hero whose temper and drinking threaten his spot on the team, and his romantic life..but his naive comical roommate (Benny Rubin) remains his steadfast supporter. ... See full summary » ",https://www.imdb.com/title/tt0021436/
A Million to One,1936,Isn't Available,68 min," Action, Drama, Romance "," John Kent (Monte Blue') wins the Olympic decathlon but is disqualified on a charge of professionalism. William Stevens (Kenneth Harlan), the second-place finisher, is awarded the title and ... See full summary » ",https://www.imdb.com/title/tt0029248/
The British & Irish Lions: Uncovered,2017,Isn't Available,240 min, Sport ," It was billed 'Mission Impossible', beating double World Champions New Zealand in a Test series in their own back yard, a feat only done once before in the Lions' 129-year history.",https://www.imdb.com/title/tt8287198/
Rivales,2008,Isn't Available,100 min," Comedy, Sport "," Two youth football teams, eternal rivals, travel to a great final dreaming of defeating their nemesis.",https://www.imdb.com/title/tt1111944/
Dunkin Donato,1993,Isn't Available,109 min," Comedy, Sport "," Basketball star Benjie Paras tries his hand at comedy in Dunkin Donato together with funny man Herbert Bistek Bautista. The two play cousins Donato and Buknoy, star player and ... See full summary » ",https://www.imdb.com/title/tt5144338/
Der Sportpenner,2019,Isn't Available,90 min," Comedy, Drama, Sport "," About a homeless man's life, his past, and how his life changes.",https://www.imdb.com/title/tt7462562/
Boys of Summerville,2008,Isn't Available,96 min," Comedy, Drama, Family "," Peter Davis, a big city business man, begrudgingly goes back to his little hometown of Summerville to settle his late father's estate. When he gets there, he finds himself once again ... See full summary » ",https://www.imdb.com/title/tt0940584/
Glória de Campeão,1932,Isn't Available,72 min," Drama, Sport ", An up and coming boxer ( Ben Lyon) runs into problems when he takes on a women fight manager (Constance Cummings). Ben Lyon is once again playing with Tom Dugan [They co-starred in The Hot... See full summary » ,https://www.imdb.com/title/tt0022682/
The Fighters Prayer,2017,Isn't Available,111 min, Sport , A fighter is cheated out of his Olympic glory only to become an underdog bare knuckle fighter. He gets a shot at the professional boxing championship title against the top fighter from a rival country.,https://www.imdb.com/title/tt8246114/
Hashire! T-kô Basket bu,2018,Isn't Available,115 min," Drama, Sport ", Yoichi plays basketball at his junior high and is capable. He is granted a scholarship and attends a high school with a superlative basket team. Instead of welcoming the boy the students ... See full summary » ,https://www.imdb.com/title/tt7329058/
Eine andere Liga,2005,Isn't Available,100 min," Drama, Sport "," Hayat, an end-of-teenage Turkish girl, is playing in a soccerteam when she suddenly fells unconscious. The medicals find cancer, a disease of which her mother died some years ago. Hayat ... See full summary » ",https://www.imdb.com/title/tt0442908/
One Leg Kicking,2001,Isn't Available,90 min," Comedy, Sport ", A group of underdogs form an amateur football team to play in a local league. The prize for the winners: a trip to the 2002 World Cup Finals. The team include a common man's hero who raises... See full summary » ,https://www.imdb.com/title/tt0253399/
"The Time, the Place and the Girl",1929,Isn't Available,70 min," Comedy, Drama, Musical "," A musical comedy that follows the progress of a college All America football player, Jim Crane(Grant Withers), whose swollen head is deflated when, after graduating , he takes a job as a ... See full summary » ",https://www.imdb.com/title/tt0020504/
Johnny Golf Pro,,Isn't Available,90 min," Action, Comedy, Sport ", Johnny Golf Pro is a movie about a PGA golf pro from Las Vegas who gets convinced to move from Las Vegas to West Virginia to help save a struggling golf course. Johnny has second thoughts ... See full summary » ,https://www.imdb.com/title/tt3223664/
Born to Speed,1947,Isn't Available,61 min," Action, Adventure, Drama "," Johnny Randall, a young race-car driver, falls in love with Tony Bradley, who hates racing because her brother was killed in a midget car-race (the car size, not the driver-size.) To ... See full summary » ",https://www.imdb.com/title/tt0039212/
In This Corner,1948,Isn't Available,59 min," Action, Drama, Romance "," During a naval battle in the South Pacific, Jimmy Weston is forced to strike a shipmate who has gone berserk. The sailor falls and is accidentally killed, and as a result of the incident, ... See full summary » ",https://www.imdb.com/title/tt0189604/
Ang boyfriend kong pari,1999,Isn't Available,Isn't Available," Action, Comedy, Sport ", Add a Plot ,https://www.imdb.com/title/tt0335884/
Curva da Morte,1940,Isn't Available,61 min," Sport, Thriller "," During a test a race car using an experimental oil-fueled engine blows up, killing the driver. Lucky Taylor, a stunt driver, is initially blamed for the accident, but is later cleared. He ... See full summary » ",https://www.imdb.com/title/tt0032380/
Pardon My Stripes,1942,Isn't Available,64 min," Comedy, Crime, Sport "," Football player Henry Platt (William Henry)mistakes a helmet for the football in his zeal to make a touchdown during a critical game, his error earns him the accolade of Dope of the Year ... See full summary » ",https://www.imdb.com/title/tt0035174/
Nasu: Uma Ave Migratória com Mala,2007,12,54 min," Animation, Drama, Sport ", Pepe Benengeli and his team participate in the Japanese Cup.,https://www.imdb.com/title/tt3751278/
Carga Máxima,,Isn't Available,Isn't Available," Action, Crime, Drama "," A truck racing driver who starts driving in the service of a cargo theft gang in order to keep his team. Now, he will have to fight his way out of the criminal world.",https://www.imdb.com/title/tt16427938/
The Golden Gloves Story,1950,Isn't Available,76 min," Drama, Romance, Sport "," Joe Riley is a boxing referee whose life-code is the same as the sporting rules of the prizefight ring. Two Golden Glove (a tournament for amateur prizefighters) contestants Nick Martel, a ... See full summary » ",https://www.imdb.com/title/tt0042511/
Dear Mr. Fidrych,2009,Isn't Available,118 min," Adventure, Comedy, Drama "," It's 1976 in Detroit. Twelve-year-old poet Marty Jones wants to be a baseball star. Motivated by the quirky success of Mark 'The Bird' Fidrych, Marty writes a poem to the Detroit Tigers' ... See full summary » ",https://www.imdb.com/title/tt1540847/
Nos Bastidores do Esporte,1932,Isn't Available,74 min," Drama, Sport ", Add a Plot ,https://www.imdb.com/title/tt0023171/
Untitled Derek Boogaard Project,,Isn't Available,Isn't Available," Drama, Sport "," The story of Hockey enforcer Derek Boogaard, who's violent tendencies on the ice took a toll on his personal health.",https://www.imdb.com/title/tt2888032/
Un centesimo di secondo,1981,Isn't Available,90 min," Drama, Sport ", Drama centering around a group of skiers competing in the big international downhill races. One of them is injured in a skiing accident which leaves him paralyzed.,https://www.imdb.com/title/tt0161420/
Murros de Ouro,1950,Isn't Available,63 min," Action, Comedy, Crime ", Joe is witness to a mob killing. Two of the killers are after him. He is drugged before the big fight which is watched on TV by his manager Knobby and the thugs who are holding Knobby hostage.,https://www.imdb.com/title/tt0042617/
Prästen som slog knockout,1943,Isn't Available,86 min," Comedy, Drama, Sport "," Björn Harring studies theology, but the boxing coach Charlie happens to see when he scares a couple of troublemakers through skilled boxing.",https://www.imdb.com/title/tt0036280/
Herbie Races Again 2,2021,Isn't Available,79 min," Animation, Family, Sport "," Herbie is given an opportunity to race again, by being invited to participate in Central Hero City's biggest racing event. But while confronting a new and experienced challenger, Herbie ... See full summary » ",https://www.imdb.com/title/tt18351574/
The Kid from Texas,1939,Isn't Available,71 min," Comedy, Romance, Sport ", A loud-mouthed Texas cowpuncher tries his hand at polo finding himself at odds with high society and trying to save a floundering Wild West show.,https://www.imdb.com/title/tt0031532/
TommyBall,,Isn't Available,Isn't Available, Sport ," This is the story of how an unknown squad of American minor leaguers stunned the international baseball powerhouse from Cuba. They were the 2000 USA Baseball Olympic Team, a ragtag group of... See full summary » ",https://www.imdb.com/title/tt11052244/
Last Time Out,1994,PG-13,Isn't Available," Drama, Sport "," The story of a young college quarterback's struggles with alcohol, cocaine, and family problems. His father went through the same things as a young man, and does everything he can to try to... See full summary » ",https://www.imdb.com/title/tt0110312/
Heartstrings,2021,Isn't Available,96 min," Drama, Sport "," Ron was the most unlikely candidate to ride the stable's most temperamental horse, but he does, and flawlessly so, But his journey to becoming a Champion jockey will require immense growth by him and all who surrounds him.",https://www.imdb.com/title/tt14790464/
Tinnitus,2021,Isn't Available,Isn't Available," Drama, Romance, Sport ", Add a Plot ,https://www.imdb.com/title/tt12530402/
Rotsa akvavda nushi,1972,Isn't Available,76 min," Romance, Sport "," A popular highschooler is used to getting bailed out of trouble by his rich father, but eventually he starts to wonder whether he should start taking responsibilities for his actions.",https://www.imdb.com/title/tt0171699/
Paternidade Complicada,1930,Isn't Available,68 min," Comedy, Drama, Romance "," 18-year-old Rosie Kaplan O'Grady was found as an abandoned baby by O'Grady, an Irish policeman and Kaplan, a Jewish pawnbroker, and raised by them as their own. She is being courted by two ... See full summary » ",https://www.imdb.com/title/tt0020650/
Pororo: The Racing Adventure,2013,Isn't Available,78 min," Animation, Family, Sport ", Curious little penguin Pororo and his friends accidentally cause an airplane to make an emergency landing in their home of Pororo Village. On the airplane are some turtles being shipped to ... See full summary » ,https://www.imdb.com/title/tt2652476/
Ringside,1949,Isn't Available,68 min," Drama, Sport "," Joe O'Hara, a hard fighter, wants the championship title for the money to finance the concert pianist career of his brother Mike, who also could be a good fighter. When Joe fights the title... See full summary » ",https://www.imdb.com/title/tt0041812/
Gli eroi della domenica,1952,Isn't Available,98 min," Drama, Sport ", Gino Bardi is a centre-forward in a football team which is about to be relegated to the second division. Just before a very important match a girl he has a relationship with proposes him to... See full summary » ,https://www.imdb.com/title/tt0045734/
Corinthians: Passion Beyond Measure and Reason,,Isn't Available,Isn't Available, Sport , The story of one of Brazil's famous soccer clubs. .,https://www.imdb.com/title/tt3640086/
Down and Distance,2010,Isn't Available,Isn't Available," Family, Sport "," An immature football coach's life is falling apart. Marital problems, mounting gambling debts, unemployment, two children who are distancing themselves from him and an aging father. He has ... See full summary » ",https://www.imdb.com/title/tt1058519/
Chia danshi!!,2019,Isn't Available,118 min, Sport , Add a Plot ,https://www.imdb.com/title/tt9500068/
King,2009,Isn't Available,Isn't Available," Drama, Family, Sport "," King tells story about the dream of a village boy named Guntur (Rangga Raditya) to become an international badminton player like his and his father idol, Liem Swie King.",https://www.imdb.com/title/tt1462546/
Mordy to the Max,2012,Isn't Available,96 min," Comedy, Sport "," Mordy Horwich, a high school senior and science prodigy with no athletic ability whatsoever, puts his bright academic future at risk to follow his dream: to play college basketball. He sets... See full summary » ",https://www.imdb.com/title/tt2369666/
Tatchi,2005,Isn't Available,116 min," Drama, Romance, Sport ", Add a Plot ,https://www.imdb.com/title/tt0489569/
Dans les cordes,2007,Isn't Available,93 min," Drama, Sport ", Add a Plot ,https://www.imdb.com/title/tt0783705/
Animal,VI) (2016,Isn't Available,76 min," Drama, Horror, Sport "," A quiet, hardened young man faces psychological, physiological and economic challenges while trying to rise up in the rural-American mixed martial arts circuit.",https://www.imdb.com/title/tt6099424/
Nasu: Verão em Andaluzia,2003,12,47 min," Animation, Action, Sport ", Follows the struggle of a Spanish professional cyclist to win a bike race the same day of his brother's wedding.,https://www.imdb.com/title/tt0382868/
The Goal,1999,Isn't Available,Isn't Available, Sport ," This story is about a boy who is not accepted to the club by other people only because his father is a thief. Irfan khan(the coach) wanted him to play so, he transfers him to the rival club in the tournament.",https://www.imdb.com/title/tt0287463/
Unstoppable: The Anthony Robles Story,,Isn't Available,Isn't Available, Sport ," Based on the life of Anthony Robles, a boy born with one leg, who overcame impossible odds on his way to glory as an NCAA Wrestling Champion in 2011.",https://www.imdb.com/title/tt3864060/
Íslenski draumurinn,2000,Isn't Available,90 min," Comedy, Sport "," A business man and weekend dad is getting worn down by family trouble, business failure and the continuous loss of his favourite football team.",https://www.imdb.com/title/tt0260594/
Win by Fall,2012,Isn't Available,85 min," Drama, Sport "," Scott Reynolds is the state's best 152 pound wrestler. Ryan, the team's 171 pound varsity wrestler, breaks his leg and Coach Winters moves Scott up to the 171 pound division. If Scott wants... See full summary » ",https://www.imdb.com/title/tt1694510/
Ronin Conurbano,2020,Isn't Available,107 min," Comedy, Drama, Musical ", Add a Plot ,https://www.imdb.com/title/tt6353262/
Plavi 9,1950,Isn't Available,95 min," Comedy, Sport "," Fabris, a center-forward and the key player of the harbor town's football team, is a selfish individualist who is believed that he's irreplaceable in the first squad. He's also a womanizer ... See full summary » ",https://www.imdb.com/title/tt0042847/
Untitled Chris Paul Project,,Isn't Available,Isn't Available," Biography, Drama, Sport ", Based on the life and professional trajectory of US basketball player Chris Paul.,https://www.imdb.com/title/tt13623870/
The Special 1,2022,Isn't Available,60 min, Sport ," Presented by Richie Driss, The Special 1 will explore the many faces of goalkeepers, from game-changer to weak-link. Featuring Jordan Pickford, Aaron Ramsdale, Rob Green and more.",https://www.imdb.com/title/tt18084184/
Vosmoe chudo sveta,1982,Isn't Available,85 min," Comedy, Sport ", Add a Plot ,https://www.imdb.com/title/tt0083304/
Reverse Runner,2013,Isn't Available,86 min," Comedy, Drama, Family ", A teenager pursues his childhood dream of becoming the best at reverse running.,https://www.imdb.com/title/tt2071567/
Ragol Fakad Aklah,1980,Isn't Available,Isn't Available," Comedy, Drama, Musical "," Ahmed is a successful engineer and a womanizer. When Ziko and Kimo who are professional soccer players learn about their father's new affair, they persuade him not to break their mother's ... See full summary » ",https://www.imdb.com/title/tt2241455/
Ya ya ya sa sa sa,1985,Isn't Available,97 min," Comedy, Drama, Sport "," Ilyas is a poor gate keeper in Istanbul. One day he catches a life time opportunity, being a football player at Fenerbahce Sports Club.",https://www.imdb.com/title/tt0756259/
Breaking the Waves,2014,Isn't Available,92 min," Drama, Sport "," Breaking the Waves is described as a youthful, light-hearted, and romantic story about Xiao Yue, a fiery and irritable dragon boat trainer who learns patience from her sunny boyfriend, Tian... See full summary » ",https://www.imdb.com/title/tt8690024/
Quan wang gao xiao,2017,Isn't Available,60 min," Action, Drama, Sport "," Behind a peaceful looking college, there are a group of hot-blooded youths. They have an extraordinary Kung Fu skill, they are unruly, faith-like follow the order which are built between ... See full summary » ",https://www.imdb.com/title/tt6682830/
The Last Game,1995,Isn't Available,75 min," Drama, Sport ", A young woman who has bad hearing tries to play basketball.,https://www.imdb.com/title/tt0211477/
Huck Yeah!,2020,Isn't Available,65 min, Sport , It is an insight into the lives & journeys of some of the world's best Freeride Skiiers during the Global Pandemic.,https://www.imdb.com/title/tt13445482/
Walking On,2021,Isn't Available,77 min," Comedy, Drama, Sport ", The story follows the journey of a young woman named Sydney. Sydney is daughter to a single father who lives in the suburbs. She has just been accepted to a University and decides that she ... See full summary » ,https://www.imdb.com/title/tt16294848/
Bunker to Bunker,2021,Isn't Available,54 min," Comedy, Sport "," As summer break arrives, Jonah Plywood struggles to live up to the legacy his late father has left behind as one of the greatest golfers in the history of the sport. With the help of those ... See full summary » ",https://www.imdb.com/title/tt15269168/
Khel Khel Mein,,Isn't Available,Isn't Available, Sport , Add a Plot ,https://www.imdb.com/title/tt11027826/
The Spirit of Stanford,1942,Isn't Available,73 min," Drama, Romance, Sport "," The Spirit of Stanford finds high school quarterback Frankie Albert, cocky because of his football abilities, heading for Stanford while his teammate, Cliff Bernard, opts for the University... See full summary » ",https://www.imdb.com/title/tt0035368/
Sweet Spot,,Isn't Available,Isn't Available," Comedy, Sport "," A struggling New York Yankee pitcher ends up in the Colombia League trying to revive his career and, while there, meets a woman who will change everything.",https://www.imdb.com/title/tt0790728/
Fighting,2014,Isn't Available,91 min," Action, Drama, Romance "," Ruofei is an orphan boy. One day he accidentally crossed over to a different era. In the world 100 years from now, he went on adventures with kongfu hero and discovered many secrets.",https://www.imdb.com/title/tt6447730/
Rabbit Punch,,Isn't Available,Isn't Available," Crime, Drama, Sport "," Two detectives, a veteran and a rookie, investigate the murder of a promising young boxer.",https://www.imdb.com/title/tt15364968/
Kyaputen tsubasa ayaushi! Zen'nihon Jr,1985,Isn't Available,60 min," Animation, Sport ", Tsubasa and his team face off in a return match against the All Europe Soccer Team.,https://www.imdb.com/title/tt7966088/
Los fenómenos del futbol,1964,Isn't Available,85 min," Action, Adventure, Drama ", Add a Plot ,https://www.imdb.com/title/tt0179808/
Numinous,2017,Isn't Available,51 min, Sport ," Awed and attracted. He is one of the most aggressive and talented freeskiers of our age. Born and raised in the BC backcountry, with a bloodline alive with adventure and a style carved from... See full summary » ",https://www.imdb.com/title/tt8236204/
Leão da Festa,1930,Isn't Available,72 min," Comedy, Romance, Sport "," Marco Perkins is a garage mechanic and a would-be-prizefighter who gets a place on the ritzy country club's polo team because he is the town's most proficient mallet-wielder, having learned... See full summary » ",https://www.imdb.com/title/tt0021396/
Yowamushi Pedal Re: Road,2015,Isn't Available,89 min," Animation, Drama, Sport "," The movie will compile the episodes from the second season of the anime, and will also have new cuts of animation.",https://www.imdb.com/title/tt7392028/
Kyaputen tsubasa sekai daisakusen!! Jr. Warudo kappu,1986,Isn't Available,57 min," Animation, Sport "," Tsubasa and his team enter a world cup that that has four teams: Japan, United States of America, 'All Europe' and 'All South America'.",https://www.imdb.com/title/tt7966184/
Doida pela Farda,1935,Isn't Available,61 min," Comedy, Sport "," A pretty young socialite falls for a charming but shady hustler, who abandons her when he finds that she has been disowned by her wealthy father. Three of the hustler's partners, who have ... See full summary » ",https://www.imdb.com/title/tt0026480/
Parkour,2009,Isn't Available,92 min," Drama, Sport "," Parkour is Marc Rensing's debut drama about a young man and his group of friends in an unnamed industrial town in Germany. The film is a captivating story of friendship, love, and jealousy ... See full summary » ",https://www.imdb.com/title/tt1294706/
Sinta o Vento,2009,Livre,133 min," Drama, Sport ", Two talented runners who have not fulfilled their potential meet by chance and rekindle their enthusiasm for the sport.,https://www.imdb.com/title/tt1517476/
Wolverhampton Wanderers Match of the Millennium,2009,Isn't Available,Isn't Available, Sport , Add a Plot ,https://www.imdb.com/title/tt3119382/
Little Johnny Jones,1929,Isn't Available,74 min," Comedy, Drama, Music ", Cohan comedy about a jockey.,https://www.imdb.com/title/tt0020101/
The Girl from Monterrey,1943,Isn't Available,58 min," Romance, Sport ", Mexican club singer Lita Valdez is amazed to find that her younger brother Alberto is a talented boxer and is even more thrilled by his consistent success in the ring. Till he is forced to ... See full summary » ,https://www.imdb.com/title/tt0035943/
Doda,2022,Isn't Available,135 min," Action, Sport ", Add a Plot ,https://www.imdb.com/title/tt16234322/
Slam,2008,Isn't Available,93 min," Action, Drama, Family "," Our story begins on the last day of school during final exams in Beijing, China. Mouth, a shy insecure 15-year-old, and his best friend Monkey, an undersized energetic loudmouth, get ready ... See full summary » ",https://www.imdb.com/title/tt1173568/
Nam yee dong yap jun,1994,Isn't Available,84 min," Comedy, Sport "," To save her father's basketball franchise, daughter KK recruits a team of misfits, each with inner demons to overcome, to challenge an American team.",https://www.imdb.com/title/tt0110624/
Udumbara,2018,Isn't Available,118 min," Drama, Sport "," The movie revolves around Anandha, a middle aged man, who tries to achieve his lifelong dream through girl named Udumbara.",https://www.imdb.com/title/tt9125992/
Malandros da Marmelada,1953,Isn't Available,61 min," Action, Crime, Drama "," After fighter Jim O'Hara is killed during a bout against a much heavier opponent, Mark Miller, a former boxer who left the profession to become a sportswriter, learns that a gambling ring ... See full summary » ",https://www.imdb.com/title/tt0045885/
Mak tae,2006,Isn't Available,Isn't Available," Comedy, Sport ", Add a Plot ,https://www.imdb.com/title/tt0963925/
Helm Al Omr,2009,Isn't Available,110 min, Sport , An Egyptian guy who loves Boxing . He left his home and travelled to Cairo to train . He loved a girl but her dad refused him . He fights to be the World Champion,https://www.imdb.com/title/tt6450162/
Hurricane Kid,,Isn't Available,118 min," Drama, Sport "," Todd Lawrence's best days are behind him. Formerly one of the most celebrated Mixed Martial Arts stars of his time, Todd is now faint memory in the sport that he once loved so much. But when his estranged son returns him to the ring as his trainer, Todd gets one last chance at glory and redemption.",https://www.imdb.com/title/tt1733298/
Perfect Profile,1989,Isn't Available,87 min," Comedy, Romance, Sport ", Brad Johnson is a successful young manager who owns a millions dollar heavy company. He believes the key to his success was trusting in the forecasts of his computers. So he wants to use ... See full summary » ,https://www.imdb.com/title/tt0098079/
The Holy Man,2016,Isn't Available,83 min," Action, Drama, Sport ", This is the story of a man who is fighting for more than just a world boxing championship.,https://www.imdb.com/title/tt1503790/
Millie,I,Isn't Available,Isn't Available," Biography, Drama, Sport "," The story of legendary female pro-wrestler Mildred Burke, who pioneered the sport for women in the 1930s-1950s. Based on the book Queen Of The Ring and Millie's unpublished auto-biography manuscript.",https://www.imdb.com/title/tt7942820/
Naked Women's Wrestling League: Vegas Stripped,2004,Isn't Available,Isn't Available, Sport , Add a Plot ,https://www.imdb.com/title/tt14927456/
Out of Sight II,2014,Isn't Available,51 min, Sport ," Just a stone's throw from Paris lies Fontainebleau, containing thousands of boulders scattered over hundreds of areas which has become one of the busiest and most well known climbing ... See full summary » ",https://www.imdb.com/title/tt4256748/
Zweier ohne,2008,Isn't Available,90 min," Drama, Romance, Sport ", Add a Plot ,https://www.imdb.com/title/tt1075116/
The Real Thing,1996,Isn't Available,53 min," Drama, Sport ", The Real Thing is the first feature length bouldering move ever. Britain's top rock climbers Jerry Moffat and Ben Moon take you on a roller-coaster road trip from the classic grit-stone ... See full summary » ,https://www.imdb.com/title/tt3816492/
O Presidente do Borgorosso Football Club,1970,Isn't Available,115 min," Comedy, Sport "," Hilarious comedy about the world of football fans. Alberto Sordi is known in Italy, not only for his many comical and dramatic film roles, but also for playing parts that reflected the new ... See full summary » ",https://www.imdb.com/title/tt0066243/
Mr. Celebrity,1941,Isn't Available,67 min," Comedy, Drama, Sport "," The grandparents, Daniel Mason(William Halligan) and Mrs. Mason (Laura Treadwell) of Danny Mason (Robert 'Buzz' Henry)), an orphaned boy, are trying to have him put into their custody ... See full summary » ",https://www.imdb.com/title/tt0035089/
Trener,1978,Isn't Available,101 min," Drama, Sport ", A town hires an Olympic track star named Randy Rawlings to coach the high school basketball team. Randy is hired sight unseen and the town does not know Randy is a woman. The town immediately tries to force her out as soon as she arrives.,https://www.imdb.com/title/tt0170709/
Histórias de Futebol,1997,Isn't Available,87 min," Drama, Sport ", Three vignettes about the lives of young Chileans and their passions and frustrations over one of the century's most important rituals.,https://www.imdb.com/title/tt0119297/
Goin Ape,2013,Isn't Available,Isn't Available," Drama, Romance, Sport ", An out of work painter is driven over the edge when he stumbles on a teen porn ring.,https://www.imdb.com/title/tt4590360/
A Taste for Blood,,Isn't Available,Isn't Available," Action, Drama, Sport ", Story follows an out-of-work steel worker as he struggles to provide for his family and avenge his brother's death by fighting in a mixed martial-arts match against a dangerous opponent.,https://www.imdb.com/title/tt7708226/
Rainha do Turf,1937,Isn't Available,59 min," Drama, Romance, Sport "," In a film advertised and sold as a Damon Runyon story, but actually combined elements from his All Scarlet and another story written by J. Robert Bren and Norman Houston called Odds Are ... See full summary » ",https://www.imdb.com/title/tt0028153/
Aguenta a Mão,1952,Isn't Available,67 min," Action, Comedy, Sport "," In a precursor to Trading Places (1983), the Bowery Boys are enrolled in a fancy college by a pair of rich snobs who think they can turn the Boys into classy guys. Sach becomes a football ... See full summary » ",https://www.imdb.com/title/tt0044714/
Changing Tides,I,Isn't Available,Isn't Available," Drama, Romance, Sport ", A hot tempered Californian surf star is sent to Fryeburg Maine for the summer to learn values as a camp counselor.,https://www.imdb.com/title/tt7211552/
High Gear,1933,Isn't Available,67 min," Action, Adventure, Crime "," When Mark 'High Gear' Sherrod (Murray) looses his nerve, the race car driver takes a job driving a taxi, but when he befriends a cute reporter and the young handicapped son of a deceased driver, he attempts to return to the track.",https://www.imdb.com/title/tt0024119/
À Toda Velocidade,1932,Isn't Available,82 min," Comedy, Romance, Sport "," Two sailors are leaving the US Navy after 10 years. In their spare time, one of them (Haines) invents a carburetor that should increase the speed that powered boats will run, but all that ... See full summary » ",https://www.imdb.com/title/tt0022882/
Gegengerade,2011,Isn't Available,100 min," Action, Drama, Sport ", Add a Plot ,https://www.imdb.com/title/tt1688644/
Run to Daylight,,Isn't Available,Isn't Available," Biography, Drama, Sport ", A look at the life of American football coach Vince Lombardi who led the Green Bay Packers to three straight championships in the 1960s.,https://www.imdb.com/title/tt3385454/
The Rhino Brothers,2001,Isn't Available,93 min," Drama, Sport "," A story of a Canadian family and one son's journey to make it to play in a professional hockey league. Supported and hindered by his immediate family, Stephan Kanachowski experiences a ... See full summary » ",https://www.imdb.com/title/tt0286922/
Pharmboy,2012,Isn't Available,73 min," Drama, Family, Sport "," Pharmboy is the story of Gunner Barrett, a rural high school student born addicted to prescription pain medications. The film explores the challenging life of a 16 year old boy, the obstacles he has faced, and his path to redemption.",https://www.imdb.com/title/tt2619066/
Um Golpe ao Coração,1942,Isn't Available,74 min," Comedy, Romance, Sport "," John T. Bromley III is a young man from high society who is physically humiliated by a prizefighter before his socialite sweetheart, Jenny Killian. He goes to a training camp to redeem his ... See full summary » ",https://www.imdb.com/title/tt0035256/
Rabu faito,2008,Isn't Available,126 min," Drama, Romance, Sport ", Add a Plot ,https://www.imdb.com/title/tt1313144/
Spirit of Love: The Mike Glenn Story,2013,PG,99 min," Family, Sport ", NBA player Mike Stinger Glenn plays himself in this wonderful film inspired by his real life basketball camps for the deaf and hard of hearing. In a unique casting deaf and hard of ... See full summary » ,https://www.imdb.com/title/tt2362354/
Fuertes,2019,Isn't Available,109 min," Sport, War "," When war broke out, a group of soccer players changed the playing field for the battlefield to win one of the most remembered battles in the history of Bolivia. Based on real events, FUERTES tells a glorious episode of courage and passion.",https://www.imdb.com/title/tt8099190/
Ha-Italkim Ba'im,1996,Isn't Available,100 min," Drama, Romance, Sport "," An Italian water-polo team arrives at Givat Hashlosha Kibbutz for training camp. Amos, the Kibbutz team coach, is an impressive, talented and charming man, undergoing his mid -life crisis. ... See full summary » ",https://www.imdb.com/title/tt0116663/
The Fugees,,Isn't Available,Isn't Available," Drama, Sport "," A Jordanian soccer coach forms a team made up of kids from war-torn regions who are placed in the U.S. city of Clarkston, Georgia.",https://www.imdb.com/title/tt0985017/
The Great Game,1953,Isn't Available,80 min," Comedy, Drama, Sport "," The wealthy chairman of First Division Football Club, Burnville United, makes an unethical approach to a star player of another club, and the ensuing scandal costs him his job.",https://www.imdb.com/title/tt0045838/
Knockout,1941,Isn't Available,73 min," Drama, Romance, Sport "," A prize-fighter falls under the nefarious influence of an unscrupulous boxing promoter-manager, to the detriment of his marriage.",https://www.imdb.com/title/tt0033795/
Panic on the Air,1936,Isn't Available,54 min," Comedy, Crime, Drama "," A radio commentator turns sleuth in a case involving kidnap ransom, murder, and a mysterious five dollar bill.",https://www.imdb.com/title/tt0028083/
Kisarazu Cat's Eye: Nihon Series,2003,Isn't Available,123 min," Comedy, Drama, Sport ", A TV special aired after a very successful series Kisarazu Cat's Eye. Bussan learns that he has just a year to live and decides to spend that time with his band Kisarazu Cat's Eye enjoying various funny adventures with his friends.,https://www.imdb.com/title/tt0807715/
Kentucky Blue Streak,1935,Isn't Available,60 min," Action, Crime, Drama "," Mary Bradley leaves her family's farm in Cloverdale, Kentucky to visit her brother Johnny, a jockey, in San Francisco. Their reunion is interrupted by Harry Johnson, who tries to convince ... See full summary » ",https://www.imdb.com/title/tt0026563/
